   emu(eV)      n(10^20/cm3)               DOS            intDOS            DOSvk2         |vk|(m/s)             sigma                ke      L(1E-8V2K-2)           S(uV/K)                PF  EFF(10^-20 W^5/3 m s^-1/3 K^-2)
  -3.00000    -1994.7516         1.1416833         13.690276        0.21688374E+12     435853.64        0.22410827E+21    0.38146227E+16     2.1276672         46.588060         48.641520         1.8225865    
  -2.99000    -1992.5554         1.1285354         13.701627        0.21167515E+12     433089.18        0.21872618E+21    0.36994389E+16     2.1141953         48.175405         50.763494         1.9168412    
  -2.98000    -1990.3845         1.1155156         13.712847        0.20640555E+12     430152.90        0.21328105E+21    0.35839741E+16     2.1004996         49.859880         53.021831         2.0176650    
  -2.97000    -1988.2387         1.1025826         13.723938        0.20107252E+12     427042.20        0.20777037E+21    0.34684470E+16     2.0867069         51.647072         55.421086         2.1254247    
  -2.96000    -1986.1178         1.0896879         13.734899        0.19567401E+12     423755.65        0.20219203E+21    0.33531001E+16     2.0729675         53.542429         57.964245         2.2404583    
  -2.95000    -1984.0220         1.0767756         13.745731        0.19020853E+12     420293.23        0.19654450E+21    0.32382008E+16     2.0594578         55.551175         60.652316         2.3630633    
  -2.94000    -1981.9512         1.0637815         13.756434        0.18467527E+12     416656.49        0.19082692E+21    0.31240421E+16     2.0463846         57.678220         63.483860         2.4934833    
  -2.93000    -1979.9056         1.0506332         13.767007        0.17907421E+12     412848.73        0.18503928E+21    0.30109444E+16     2.0339900         59.928051         66.454476         2.6318931    
  -2.92000    -1977.8857         1.0372496         13.777446        0.17340628E+12     408875.21        0.17918255E+21    0.28992572E+16     2.0225583         62.304591         69.556193         2.7783806    
  -2.91000    -1975.8920         1.0235404         13.787750        0.16767348E+12     404743.33        0.17325879E+21    0.27893624E+16     2.0124249         64.810994         72.776747         2.9329237    
  -2.90000    -1973.9253         1.0094066         13.797916        0.16187904E+12     400462.86        0.16727133E+21    0.26816776E+16     2.0039877         67.449366         76.098704         3.0953608    
  -2.89000    -1971.9863        0.99474072         13.807937        0.15602756E+12     396046.07        0.16122493E+21    0.25766582E+16     1.9977200         70.220380         79.498430         3.2653524    
  -2.88000    -1970.0764        0.97942798         13.817808        0.15012522E+12     391507.94        0.15512598E+21    0.24748001E+16     1.9941857         73.122770         82.944923         3.4423332    
  -2.87000    -1968.1968        0.96334860         13.827523        0.14418000E+12     386866.19        0.14898272E+21    0.23766392E+16     1.9940560         76.152706         86.398578         3.6254539    
  -2.86000    -1966.3491        0.94638111         13.837072        0.13820193E+12     382141.34        0.14280552E+21    0.22827499E+16     1.9981282         79.303042         89.810000         3.8135147    
  -2.85000    -1964.5353        0.92840676         13.846447        0.13220330E+12     377356.65        0.13660708E+21    0.21937408E+16     2.0073455         82.562440         93.118986         4.0048920    
  -2.84000    -1962.7572        0.90931499         13.855637        0.12619887E+12     372537.99        0.13040264E+21    0.21102489E+16     2.0228204         85.914364         96.253812         4.1974591    
  -2.83000    -1961.0173        0.88900961         13.864629        0.12020598E+12     367713.69        0.12421011E+21    0.20329322E+16     2.0458602         89.335937         99.130969         4.3885039    
  -2.82000    -1959.3179        0.86741543         13.873413        0.11424456E+12     362914.39        0.11805012E+21    0.19624605E+16     2.0779951         92.796619         101.65546         4.5746450    
  -2.81000    -1957.6616        0.84448495         13.881973        0.10833711E+12     358172.85        0.11194588E+21    0.18995044E+16     2.1210074         96.256700         103.72180         4.7517497    
  -2.80000    -1956.0509        0.82020460         13.890298        0.10250846E+12     353523.88        0.10592308E+21    0.18447220E+16     2.1769594         99.665591         105.21583         4.9148591    
  -2.79000    -1954.4885        0.79459994         13.898373        0.96785507E+11     349004.40        0.10000949E+21    0.17987405E+16     2.2482122         102.95992         106.01751         5.0581304    
  -2.78000    -1952.9769        0.76773944         13.906186        0.91196789E+11     344653.62        0.94234610E+20    0.17621337E+16     2.3374290         106.06149         106.00489         5.1748143    
  -2.77000    -1951.5184        0.73973615         13.913724        0.85771998E+11     340513.51        0.88629117E+20    0.17353909E+16     2.4475462         108.87529         105.05944         5.2572902    
  -2.76000    -1950.1150        0.71074703         13.920977        0.80541401E+11     336629.42        0.83224285E+20    0.17188768E+16     2.5816935         111.28771         103.07290         5.2971945    
  -2.75000    -1948.7685        0.68096976         13.927936        0.75535186E+11     333051.00        0.78051310E+20    0.17127812E+16     2.7430372         113.16549         99.955850         5.2856829    
  -2.74000    -1947.4803        0.65063725         13.934595        0.70782773E+11     329833.17        0.73140591E+20    0.17170574E+16     2.9345152         114.35582         95.647809         5.2138738    
