   emu(eV)      n(10^20/cm3)               DOS            intDOS       tau(1E-14s)         |vk|(m/s)        sigma(S/m)       ke(Wm-1K-1)      L(1E-8V2K-2)           S(uV/K)   PF(1E-4Wm-1K-2)
  -3.00000    -1994.7516         1.1416833         13.690276         3.8504612         435853.64         8578101.6         136.59134         1.9904075         37.809385         122.62822    
  -2.99000    -1992.5554         1.1285354         13.701627         3.8670892         433089.18         8408187.2         132.82406         1.9746239         39.763080         132.94206    
  -2.98000    -1990.3845         1.1155156         13.712847         3.8827617         430152.90         8232351.6         129.00064         1.9587453         41.822118         143.99120    
  -2.97000    -1988.2387         1.1025826         13.723938         3.8974396         427042.20         8050537.5         125.12914         1.9428693         43.991570         155.79869    
  -2.96000    -1986.1178         1.0896879         13.734899         3.9110881         423755.65         7862717.0         121.21849         1.9271088         46.276453         168.38088    
  -2.95000    -1984.0220         1.0767756         13.745731         3.9236765         420293.23         7668896.9         117.27849         1.9115933         48.681689         181.74571    
  -2.94000    -1981.9512         1.0637815         13.756434         3.9351792         416656.49         7469124.0         113.31990         1.8964723         51.212054         195.89081    
  -2.93000    -1979.9056         1.0506332         13.767007         3.9455759         412848.73         7263490.6         109.35438         1.8819186         53.872118         210.80140    
  -2.92000    -1977.8857         1.0372496         13.777446         3.9548521         408875.21         7052139.2         105.39468         1.8681331         56.666154         226.44793    
  -2.91000    -1975.8920         1.0235404         13.787750         3.9629988         404743.33         6835267.4         101.45462         1.8553521         59.598007         242.78339    
  -2.90000    -1973.9253         1.0094066         13.797916         3.9700129         400462.86         6613132.5         97.549299         1.8438557         62.670885         259.74003    
  -2.89000    -1971.9863        0.99474072         13.807937         3.9758968         396046.07         6386057.8         93.695102         1.8339777         65.887072         277.22555    
  -2.88000    -1970.0764        0.97942798         13.817808         3.9806578         391507.94         6154438.7         89.909800         1.8261170         69.247530         295.11890    
  -2.87000    -1968.1968        0.96334860         13.827523         3.9843076         386866.19         5918750.8         86.212521         1.8207499         72.751412         313.26575    
  -2.86000    -1966.3491        0.94638111         13.837072         3.9868618         382141.34         5679557.7         82.623657         1.8184439         76.395472         331.47422    
  -2.85000    -1964.5353        0.92840676         13.846447         3.9883378         377356.65         5437518.1         79.164706         1.8198722         80.173383         349.51122    
  -2.84000    -1962.7572        0.90931499         13.855637         3.9887543         372537.99         5193391.7         75.858050         1.8258311         84.074962         367.10005    
  -2.83000    -1961.0173        0.88900961         13.864629         3.9881285         367713.69         4948041.6         72.726695         1.8372596         88.085288         383.91944    
  -2.82000    -1959.3179        0.86741543         13.873413         3.9864750         362914.39         4702432.7         69.793968         1.8552623         92.183684         399.60482    
  -2.81000    -1957.6616        0.84448495         13.881973         3.9838024         358172.85         4457625.9         67.083198         1.8811358         96.342541         413.75172    
  -2.80000    -1956.0509        0.82020460         13.890298         3.9801114         353523.88         4214767.5         64.617328         1.9163966         100.52595         425.92192    
  -2.79000    -1954.4885        0.79459994         13.898373         3.9753914         349004.40         3975073.9         62.418467         1.9628084         104.68814         435.65247    
  -2.78000    -1952.9769        0.76773944         13.906186         3.9696181         344653.62         3739813.2         60.507304         2.0224039         108.77172         442.46807    
  -2.77000    -1951.5184        0.73973615         13.913724         3.9627498         340513.51         3510281.5         58.902366         2.0974944         112.70583         445.89713    
  -2.76000    -1950.1150        0.71074703         13.920977         3.9547246         336629.42         3287778.0         57.619056         2.1906533         116.40421         445.49193    
  -2.75000    -1948.7685        0.68096976         13.927936         3.9454567         333051.00         3073577.0         56.668421         2.3046609         119.76363         440.85322    
  -2.74000    -1947.4803        0.65063725         13.934595         3.9348334         329833.17         2868898.7         56.055650         2.4423854         122.66279         431.65910    
  -2.73000    -1946.2510        0.62001009         13.940948         3.9227119         327037.07         2674880.1         55.778272         2.6065782         124.96230         417.69795    
