   emu(eV)      n(10^20/cm3)               DOS            intDOS            DOSvk2         |vk|(m/s)             sigma                ke      L(1E-8V2K-2)           S(uV/K)                PF  EFF(10^-20 W^5/3 m s^-1/3 K^-2)
  -3.00000    -1991.9815         1.1333575         13.704593        0.20970629E+12     430152.31        0.21669174E+21    0.36511214E+16     2.1061725         49.220894         52.497828         1.9767033    
  -2.99000    -1989.8013         1.1202514         13.715861        0.20436395E+12     427114.58        0.21117144E+21    0.35349590E+16     2.0924698         50.961147         54.842037         2.0810444    
  -2.98000    -1987.6464         1.1072078         13.726999        0.19895797E+12     423902.61        0.20558538E+21    0.34188258E+16     2.0787141         52.806940         57.328983         2.1924662    
  -2.97000    -1985.5168         1.0941739         13.738006        0.19348656E+12     420515.71        0.19993172E+21    0.33029786E+16     2.0650667         54.763752         59.960893         2.3112945    
  -2.96000    -1983.4124         1.0810887         13.748882        0.18794856E+12     416954.66        0.19420924E+21    0.31876994E+16     2.0517171         56.836801         62.737779         2.4378090    
  -2.95000    -1981.3334         1.0678828         13.759627        0.18234353E+12     413221.94        0.18841750E+21    0.30732966E+16     2.0388874         59.030943         65.656946         2.5722295    
  -2.94000    -1979.2802         1.0544780         13.770239        0.17667189E+12     409321.89        0.18255695E+21    0.29601067E+16     2.0268379         61.350548         68.712421         2.7146989    
  -2.93000    -1977.2532         1.0407870         13.780716        0.17093510E+12     405260.90        0.17662906E+21    0.28484968E+16     2.0158750         63.799329         71.894286         2.8652635    
  -2.92000    -1975.2530         1.0267133         13.791053        0.16513574E+12     401047.62        0.17063652E+21    0.27388674E+16     2.0063608         66.380106         75.187885         3.0238471    
  -2.91000    -1973.2805         1.0121518         13.801248        0.15927771E+12     396693.13        0.16458334E+21    0.26316551E+16     1.9987252         69.094484         78.572873         3.1902177    
  -2.90000    -1971.3367        0.99698886         13.811294        0.15336637E+12     392211.13        0.15847510E+21    0.25273352E+16     1.9934797         71.942412         82.022128         3.3639453    
  -2.89000    -1969.4229        0.98110498         13.821186        0.14740882E+12     387618.05        0.15231910E+21    0.24264227E+16     1.9912331         74.921639         85.500548         3.5443507    
  -2.88000    -1967.5407        0.96437684         13.830914        0.14141405E+12     382933.09        0.14612464E+21    0.23294712E+16     1.9927091         78.027025         88.963847         3.7304436    
  -2.87000    -1965.6917        0.94668154         13.840470        0.13539322E+12     378178.21        0.13990325E+21    0.22370706E+16     1.9987657         81.249748         92.357433         3.9208541    
  -2.86000    -1963.8781        0.92790150         13.849844        0.12935985E+12     373378.08        0.13366891E+21    0.21498418E+16     2.0104169         84.576364         95.615526         4.1137568    
  -2.85000    -1962.1019        0.90793040         13.859024        0.12332999E+12     368559.89        0.12743819E+21    0.20684308E+16     2.0288569         87.987740         98.660638         4.3067896    
  -2.84000    -1960.3655        0.88667976         13.867998        0.11732229E+12     363753.23        0.12123036E+21    0.19935001E+16     2.0554876         91.457826         101.40355         4.4969708    
  -2.83000    -1958.6716        0.86408572         13.876753        0.11135797E+12     358989.90        0.11506737E+21    0.19257189E+16     2.0919472         94.952244         103.74392         4.6806145    
  -2.82000    -1957.0227        0.84011571         13.885275        0.10546072E+12     354303.80        0.10897368E+21    0.18657513E+16     2.1401399         98.426684         105.57165         4.8532502    
  -2.81000    -1955.4215        0.81477438         13.893551        0.99656429E+11     349730.88        0.10297605E+21    0.18142406E+16     2.2022604         101.82509         106.76916         5.0095534    
  -2.80000    -1953.8707        0.78810825         13.901566        0.93972857E+11     345309.30        0.97103151E+20    0.17717891E+16     2.2808079         105.07769         107.21470         5.1433000    
  -2.79000    -1952.3726        0.76020850         13.909309        0.88439155E+11     341079.75        0.91385118E+20    0.17389324E+16     2.3785771         108.09893         106.78697         5.2473645    
  -2.78000    -1950.9296        0.73121164         13.916767        0.83085333E+11     337085.94        0.85852957E+20    0.17161043E+16     2.4986099         110.78557         105.37113         5.3137895    
  -2.77000    -1949.5437        0.70129758         13.923930        0.77941632E+11     333375.42        0.80537916E+20    0.17035931E+16     2.6440854         113.01514         102.86642         5.3339650    
  -2.76000    -1948.2163        0.67068519         13.930790        0.73037849E+11     330000.52        0.75470785E+20    0.17014857E+16     2.8181198         114.64533         99.195412         5.2989589    
  -2.75000    -1946.9486        0.63962567         13.937342        0.68402618E+11     327019.33        0.70681152E+20    0.17096034E+16     3.0234428         115.51495         94.314829         5.2000497    
  -2.74000    -1945.7413        0.60839413         13.943582        0.64062690E+11     324496.55        0.66196658E+20    0.17274277E+16     3.2619240         115.44723         88.227322         5.0294967    
  -2.73000    -1944.5943        0.57727996         13.949510        0.60042232E+11     322504.05        0.62042276E+20    0.17540276E+16     3.5339362         114.25652         80.993420         4.7815664    
  -2.72000    -1943.5071        0.54657695         13.955129        0.56362182E+11     321120.66        0.58239641E+20    0.17879951E+16     3.8375818         111.75918         72.741977         4.4537825    
  -2.71000    -1942.4788        0.51657350         13.960444        0.53039688E+11     320430.92        0.54806473E+20    0.18274094E+16     4.1678687         107.78916         63.676921         4.0482944    
  -2.70000    -1941.5076        0.48754382         13.965464        0.50087669E+11     320522.55        0.51756121E+20    0.18698485E+16     4.5160081         102.21804         54.077528         3.5731603    
