   emu(eV)      n(10^20/cm3)               DOS            intDOS       tau(1E-14s)         |vk|(m/s)        sigma(S/m)       ke(Wm-1K-1)      L(1E-8V2K-2)           S(uV/K)   PF(1E-4Wm-1K-2)
  -3.00000    -1991.9815         1.1333575         13.704593         3.8731312         430152.31         8338127.1         131.17507         1.9664948         40.671394         137.92615    
  -2.99000    -1989.8013         1.1202514         13.715861         3.8891602         427114.58         8159477.3         127.32233         1.9505282         42.782123         149.34373    
  -2.98000    -1987.6464         1.1072078         13.726999         3.9042031         423902.61         7974814.6         123.42448         1.9345980         45.006188         161.53442    
  -2.97000    -1985.5168         1.0941739         13.738006         3.9182246         420515.71         7784121.6         119.49100         1.9188260         47.348673         174.51197    
  -2.96000    -1983.4124         1.0810887         13.748882         3.9311942         416954.66         7587417.6         115.53223         1.9033522         49.814533         188.28084    
  -2.95000    -1981.3334         1.0678828         13.759627         3.9430862         413221.94         7384764.8         111.55948         1.8883384         52.408548         202.83407    
  -2.94000    -1979.2802         1.0544780         13.770239         3.9538803         409321.89         7176273.2         107.58507         1.8739718         55.135236         218.15112    
  -2.93000    -1977.2532         1.0407870         13.780716         3.9635619         405260.90         6962105.9         103.62237         1.8604711         57.998752         234.19516    
  -2.92000    -1975.2530         1.0267133         13.791053         3.9721219         401047.62         6742484.1         99.685965         1.8480942         61.002715         250.91016    
  -2.91000    -1973.2805         1.0121518         13.801248         3.9795572         396693.13         6517692.6         95.791666         1.8371468         64.149966         268.21727    
  -2.90000    -1971.3367        0.99698886         13.811294         3.9858696         392211.13         6288086.5         91.956647         1.8279935         67.442236         286.01080    
  -2.89000    -1969.4229        0.98110498         13.821186         3.9910662         387618.05         6054097.8         88.199432         1.8210689         70.879708         304.15382    
  -2.88000    -1967.5407        0.96437684         13.830914         3.9951583         382933.09         5816244.0         84.539856         1.8168911         74.460485         322.47373    
  -2.87000    -1965.6917        0.94668154         13.840470         3.9981602         378178.21         5575135.1         80.998941         1.8160757         78.179962         340.75819    
  -2.86000    -1963.8781        0.92790150         13.849844         4.0000886         373378.08         5331480.9         77.598715         1.8193518         82.030100         358.75200    
  -2.85000    -1962.1019        0.90793040         13.859024         4.0009604         368559.89         5086094.5         74.361972         1.8275804         85.998595         376.15526    
  -2.84000    -1960.3655        0.88667976         13.867998         4.0007913         363753.23         4839893.3         71.311990         1.8417759         90.067932         392.62339    
  -2.83000    -1958.6716        0.86408572         13.876753         3.9995931         358989.90         4593895.6         68.472224         1.8631307         94.214282         407.76938    
  -2.82000    -1957.0227        0.84011571         13.885275         3.9973719         354303.80         4349212.3         65.865945         1.8930424         98.406237         421.16847    
  -2.81000    -1955.4215        0.81477438         13.893551         3.9941246         349730.88         4107033.9         63.515821         1.9331415         102.60334         432.36576    
  -2.80000    -1953.8707        0.78810825         13.901566         3.9898370         345309.30         3868613.5         61.443401         1.9853173         106.75444         440.88690    
  -2.79000    -1952.3726        0.76020850         13.909309         3.9844796         341079.75         3635245.5         59.668455         2.0517340         110.79584         446.25248    
  -2.78000    -1950.9296        0.73121164         13.916767         3.9780054         337085.94         3408240.9         58.208125         2.1348302         114.64946         447.99615    
  -2.77000    -1949.5437        0.70129758         13.923930         3.9703461         333375.42         3188899.9         57.075838         2.2372856         118.22101         445.68724    
  -2.76000    -1948.2163        0.67068519         13.930790         3.9614085         330000.52         2978483.2         56.279945         2.3619381         121.39861         438.95760    
  -2.75000    -1946.9486        0.63962567         13.937342         3.9510716         327019.33         2778182.0         55.822077         2.5116280         124.05216         427.53271    
